Date,Open,High,Low,Close,Adj Close,Volume
2016-10-28,154.050003,154.440002,152.179993,152.610001,148.599869,3654500
2016-10-31,152.759995,154.330002,152.759995,153.690002,149.651505,3553200
2016-11-01,153.500000,153.910004,151.740005,152.789993,148.775131,3191900
2016-11-02,152.479996,153.350006,151.669998,151.949997,147.957199,3074400
2016-11-03,152.509995,153.740005,151.800003,152.369995,148.366180,2878800
2016-11-04,152.399994,153.639999,151.869995,152.429993,148.424576,2470400
2016-11-07,153.990005,156.110001,153.839996,155.720001,151.628143,3804900
2016-11-08,154.559998,155.929993,153.059998,155.169998,152.463318,3915000
2016-11-09,152.960007,155.559998,151.000000,154.809998,152.109589,5403700
2016-11-10,157.660004,161.160004,157.589996,160.220001,157.425232,7715800
2016-11-11,159.970001,161.339996,159.330002,161.270004,158.456909,4436400
2016-11-14,161.250000,161.860001,157.580002,158.210007,155.450287,5196500
2016-11-15,158.419998,159.149994,157.550003,158.669998,155.902267,3477000
2016-11-16,158.460007,159.550003,158.029999,159.289993,156.511444,2252800
2016-11-17,159.220001,159.929993,158.850006,159.800003,157.012558,2261200
2016-11-18,159.800003,160.720001,159.210007,160.389999,157.592255,2981600
2016-11-21,160.690002,163.000000,160.369995,162.770004,159.930756,4637100
2016-11-22,163.000000,163.000000,161.949997,162.669998,159.832489,2770800
2016-11-23,161.940002,162.380005,161.360001,161.979996,159.154526,2252700
2016-11-25,161.830002,163.190002,161.830002,163.139999,160.294296,1605300
2016-11-28,163.199997,164.660004,162.699997,164.520004,161.650223,4449400
2016-11-29,164.000000,164.410004,163.029999,163.529999,160.677490,3148200
2016-11-30,163.350006,163.800003,162.210007,162.220001,159.390350,4397800
2016-12-01,161.949997,162.199997,158.300003,159.820007,157.032227,4635700
2016-12-02,159.000000,160.289993,158.410004,160.020004,157.228729,2740900
2016-12-05,160.850006,161.149994,159.589996,159.839996,157.051849,3447100
2016-12-06,160.130005,160.789993,158.929993,160.350006,157.552963,2859000
2016-12-07,160.600006,165.179993,160.389999,164.789993,161.915497,4435100
2016-12-08,164.869995,166.000000,164.220001,165.360001,162.475571,3266400
2016-12-09,165.179993,166.720001,164.600006,166.520004,163.615341,3146900
2016-12-12,166.720001,166.789993,165.070007,165.500000,162.613129,3392300
2016-12-13,165.679993,169.949997,165.679993,168.289993,165.354462,5932300
2016-12-14,168.369995,169.889999,167.449997,168.509995,165.570618,4124200
2016-12-15,168.009995,169.850006,167.779999,168.020004,165.089172,3388600
2016-12-16,168.970001,169.110001,166.059998,166.729996,163.821671,7120600
2016-12-19,166.830002,167.259995,166.000000,166.679993,163.772537,2955900
2016-12-20,167.490005,168.250000,166.449997,167.600006,164.676514,2174600
2016-12-21,166.250000,167.940002,165.250000,167.330002,164.411194,3575700
2016-12-22,167.360001,168.229996,166.580002,167.059998,164.145905,2802600
2016-12-23,167.000000,167.490005,166.449997,166.710007,163.802017,1699200
2016-12-27,166.979996,167.979996,166.850006,167.139999,164.224518,1397500
2016-12-28,167.289993,167.740005,166.000000,166.190002,163.291107,1757500
2016-12-29,166.020004,166.990005,166.000000,166.600006,163.693954,1663500
2016-12-30,166.440002,166.699997,165.500000,165.990005,163.094574,2952800
2017-01-03,167.000000,167.869995,166.009995,167.190002,164.273651,2934300
2017-01-04,167.770004,169.869995,167.360001,169.259995,166.307526,3381400
2017-01-05,169.250000,169.389999,167.259995,168.699997,165.757309,2682300
2017-01-06,168.690002,169.919998,167.520004,169.529999,166.572830,2945500
2017-01-09,169.470001,169.800003,167.619995,167.649994,164.725616,3189900
2017-01-10,167.979996,168.089996,165.339996,165.520004,162.632782,4118700
2017-01-11,166.050003,167.759995,165.600006,167.750000,164.823883,3599500
2017-01-12,167.770004,168.009995,165.559998,167.949997,165.020386,2927500
2017-01-13,167.970001,168.479996,166.880005,167.339996,164.421021,2875400
2017-01-17,166.690002,168.179993,166.119995,167.889999,164.961441,3315700
2017-01-18,167.449997,168.589996,166.690002,166.800003,163.890457,4007800
2017-01-19,166.960007,167.449997,165.800003,166.809998,163.900284,6963400
2017-01-20,167.809998,170.639999,166.000000,170.550003,167.575043,12690000
2017-01-23,170.080002,171.250000,170.009995,171.029999,168.046661,5478200
2017-01-24,171.360001,176.000000,171.160004,175.899994,172.831711,6952400
2017-01-25,176.259995,179.250000,176.130005,178.289993,175.180023,5922500
2017-01-26,178.059998,178.880005,177.509995,178.660004,175.543564,3063900
2017-01-27,178.470001,179.199997,177.300003,177.300003,174.207306,3482300
2017-01-30,176.979996,177.070007,174.580002,175.800003,172.733459,4094800
2017-01-31,175.050003,175.580002,173.610001,174.520004,171.475800,4139000
2017-02-01,175.000000,175.699997,172.889999,174.289993,171.249786,2795700
2017-02-02,174.229996,174.970001,173.550003,174.580002,171.534744,2620500
2017-02-03,175.000000,176.339996,174.889999,175.820007,172.753128,3309300
2017-02-06,175.309998,175.979996,174.380005,175.860001,172.792419,2650800
2017-02-07,176.000000,178.619995,175.899994,178.460007,175.347061,3873500
2017-02-08,177.500000,177.500000,175.880005,176.169998,174.465668,2913100
2017-02-09,176.169998,177.800003,175.910004,177.210007,175.495621,3090700
2017-02-10,177.369995,178.869995,176.759995,178.679993,176.951385,2930700
2017-02-13,179.240005,179.899994,178.839996,179.360001,177.624817,3093400
2017-02-14,178.570007,180.130005,178.350006,180.130005,178.387375,2776500
2017-02-15,180.199997,181.919998,179.809998,181.679993,179.922363,2914300
2017-02-16,181.449997,182.789993,180.869995,181.429993,179.674789,3251500
2017-02-17,181.250000,181.570007,180.000000,180.669998,178.922134,3552500
2017-02-21,180.600006,180.789993,179.119995,180.259995,178.516098,4480300
2017-02-22,180.089996,181.339996,180.089996,181.149994,179.397491,3020500
2017-02-23,182.000000,182.500000,180.919998,181.649994,179.892654,2282500
2017-02-24,180.210007,181.490005,179.889999,181.350006,179.595566,3300100
2017-02-27,181.190002,181.250000,179.279999,179.399994,177.664429,3691300
2017-02-28,179.380005,180.630005,179.350006,179.820007,178.080368,3273400
2017-03-01,180.479996,182.550003,180.029999,181.949997,180.189758,3005600
2017-03-02,181.880005,181.880005,180.429993,180.529999,178.783493,2918200
2017-03-03,180.529999,181.320007,179.759995,180.050003,178.308136,1822000
2017-03-06,179.720001,180.990005,179.570007,180.470001,178.724075,3204400
2017-03-07,180.710007,181.289993,180.199997,180.380005,178.634949,2980500
2017-03-08,180.750000,180.949997,179.300003,179.449997,177.713943,3557400
2017-03-09,179.149994,179.250000,175.880005,177.179993,175.465897,5444100
2017-03-10,178.210007,179.490005,177.419998,177.830002,176.109619,3100300
2017-03-13,177.850006,178.059998,176.419998,176.460007,174.752884,3482200
2017-03-14,176.179993,176.820007,175.210007,175.720001,174.020035,3147500
2017-03-15,175.710007,176.279999,174.750000,175.809998,174.109161,3815500
2017-03-16,178.460007,179.000000,176.820007,177.240005,175.525330,4311800
2017-03-17,176.289993,176.789993,175.649994,175.649994,173.950699,5921000
2017-03-20,175.649994,176.179993,175.139999,175.699997,174.000214,2476100
2017-03-21,176.009995,176.229996,173.839996,173.880005,172.197830,3927700
2017-03-22,174.039993,175.059998,172.800003,174.779999,173.089127,3450500
2017-03-23,174.429993,175.669998,173.559998,174.820007,173.128738,3740000
2017-03-24,175.119995,175.500000,173.389999,173.830002,172.148315,3221700
2017-03-27,172.690002,174.160004,172.089996,173.770004,172.088898,3259000
2017-03-28,173.940002,175.000000,173.000000,174.509995,172.821732,3523900
2017-03-29,174.300003,174.490005,173.460007,173.940002,172.257248,3085600
2017-03-30,173.860001,174.589996,173.690002,173.860001,172.178024,3168300
2017-03-31,173.979996,174.949997,173.690002,174.139999,172.455322,2913700
2017-04-03,173.820007,174.869995,173.380005,174.500000,172.811829,4286500
2017-04-04,173.520004,174.960007,173.259995,174.520004,172.831650,3108900
2017-04-05,174.699997,176.330002,172.809998,172.880005,171.207504,6238900
2017-04-06,173.470001,173.470001,172.250000,172.449997,170.781662,3435400
2017-04-07,172.080002,172.929993,171.279999,172.139999,170.474670,3588300
2017-04-10,172.529999,172.559998,171.000000,171.199997,169.543762,3789900
2017-04-11,170.649994,171.229996,168.979996,170.580002,168.929764,4891900
2017-04-12,171.039993,171.199997,170.020004,170.660004,169.008987,3276900
2017-04-13,169.919998,171.360001,169.529999,169.529999,167.889908,3205500
2017-04-17,169.750000,171.300003,169.619995,171.100006,169.444733,3720200
2017-04-18,170.789993,171.690002,169.830002,170.050003,168.404892,6345500
2017-04-19,161.759995,162.639999,159.600006,161.690002,160.125763,19284300
2017-04-20,161.320007,162.399994,160.500000,162.300003,160.729858,6486800
2017-04-21,162.050003,162.110001,160.380005,160.380005,158.828445,5607800
2017-04-24,161.289993,161.570007,160.419998,160.750000,159.194855,5320600
2017-04-25,161.779999,162.039993,160.380005,160.389999,158.838333,4860400
2017-04-26,160.529999,161.100006,159.889999,160.059998,158.511520,4327800
2017-04-27,160.289993,160.479996,159.630005,160.320007,158.769028,4122600
2017-04-28,160.500000,160.589996,159.699997,160.289993,158.739304,4154100
2017-05-01,160.050003,160.419998,158.699997,158.839996,157.303329,4935300
2017-05-02,159.440002,159.490005,158.639999,159.100006,157.560822,3208200
2017-05-03,158.740005,159.449997,158.520004,158.630005,157.095367,3993300
2017-05-04,158.889999,159.139999,158.360001,159.050003,157.511307,4280600
2017-05-05,153.520004,155.779999,153.000000,155.050003,153.550003,12521300
2017-05-08,152.800003,153.470001,152.199997,153.029999,153.029999,7492000
2017-05-09,152.600006,153.100006,151.559998,152.110001,152.110001,6853000
2017-05-10,151.649994,152.369995,151.130005,151.250000,151.250000,4999900
2017-05-11,151.050003,151.149994,149.789993,150.649994,150.649994,5627900
2017-05-12,150.300003,151.259995,150.000000,150.369995,150.369995,3715300
2017-05-15,150.619995,151.830002,150.449997,151.509995,151.509995,4245500
2017-05-16,151.660004,153.990005,151.660004,153.679993,153.679993,5513700
2017-05-17,153.300003,154.139999,150.889999,150.929993,150.929993,5191500
2017-05-18,150.860001,151.330002,150.110001,150.779999,150.779999,3274200
2017-05-19,151.009995,152.460007,150.889999,151.979996,151.979996,5643000
2017-05-22,152.100006,152.839996,151.600006,152.639999,152.639999,3302100
2017-05-23,152.570007,153.679993,151.919998,152.029999,152.029999,2564500
2017-05-24,152.210007,152.759995,151.229996,152.509995,152.509995,3732400
2017-05-25,153.250000,153.729996,152.949997,153.199997,153.199997,2582700
2017-05-26,152.850006,153.000000,152.059998,152.490005,152.490005,2443300
2017-05-30,151.949997,152.669998,151.589996,151.729996,151.729996,3666000
2017-05-31,152.029999,152.800003,151.649994,152.630005,152.630005,3543400
2017-06-01,152.800003,152.869995,151.630005,152.669998,152.669998,2918100
2017-06-02,153.070007,153.199997,151.800003,152.050003,152.050003,3585700
2017-06-05,151.820007,152.929993,151.679993,152.410004,152.410004,3975100
2017-06-06,152.000000,152.889999,152.000000,152.369995,152.369995,3797200
2017-06-07,153.050003,154.199997,150.800003,150.979996,150.979996,4865700
2017-06-08,151.000000,152.820007,150.919998,152.100006,152.100006,3709000
2017-06-09,152.000000,154.259995,151.880005,154.100006,154.100006,4361500
2017-06-12,154.190002,157.199997,154.020004,155.179993,155.179993,6471500
2017-06-13,155.440002,155.479996,154.149994,154.250000,154.250000,3523500
2017-06-14,153.970001,154.940002,152.940002,153.809998,153.809998,3049100
2017-06-15,153.289993,154.690002,153.289993,154.220001,154.220001,4654300
2017-06-16,154.229996,155.419998,152.970001,155.380005,155.380005,6742000
2017-06-19,155.509995,155.860001,154.539993,154.839996,154.839996,4629500
2017-06-20,154.479996,155.389999,154.250000,154.949997,154.949997,4481700
2017-06-21,155.789993,155.789993,153.389999,153.789993,153.789993,3959700
2017-06-22,154.550003,154.990005,153.690002,154.399994,154.399994,2376500
2017-06-23,154.339996,154.679993,153.800003,154.110001,154.110001,3282200
2017-06-26,154.710007,155.750000,154.630005,155.229996,155.229996,2153500
2017-06-27,155.000000,155.339996,154.500000,154.750000,154.750000,2386500
2017-06-28,155.149994,155.550003,154.779999,155.320007,155.320007,2221000
2017-06-29,155.350006,155.740005,153.619995,154.130005,154.130005,3262200
2017-06-30,154.279999,154.500000,153.139999,153.830002,153.830002,3571500
2017-07-03,153.580002,156.029999,153.520004,155.580002,155.580002,2822500
2017-07-05,155.770004,155.889999,153.630005,153.669998,153.669998,3564400
2017-07-06,153.360001,153.830002,152.229996,152.360001,152.360001,2757500
2017-07-07,152.619995,153.490005,152.139999,152.940002,152.940002,2460100
2017-07-10,152.910004,153.889999,152.630005,153.419998,153.419998,3206200
2017-07-11,153.259995,153.649994,152.050003,153.190002,153.190002,3447500
2017-07-12,153.479996,154.240005,153.050003,153.699997,153.699997,3097900
2017-07-13,153.699997,154.190002,153.190002,153.630005,153.630005,2476100
2017-07-14,154.009995,154.619995,153.399994,154.240005,154.240005,3256400
2017-07-17,153.589996,153.880005,152.240005,153.009995,153.009995,4762600
2017-07-18,152.360001,154.289993,152.000000,154.000000,154.000000,7566800
2017-07-19,150.020004,150.250000,146.710007,147.529999,147.529999,14293600
2017-07-20,147.529999,148.830002,147.029999,147.660004,147.660004,7212200
2017-07-21,147.589996,147.869995,146.509995,147.080002,147.080002,6509500
2017-07-24,147.000000,147.039993,145.800003,145.990005,145.990005,3877600
2017-07-25,146.570007,147.490005,146.029999,146.190002,146.190002,4208900
2017-07-26,146.270004,146.460007,144.470001,145.360001,145.360001,3932400
2017-07-27,145.000000,145.399994,143.639999,145.070007,145.070007,6374700
